GRASP V.6.28    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  N117 35C rh          
Start: 18-Oct-11   06:38:43     End: 18-Oct-11   06:38:53   
  
Foreground:  44808 , Loaded: 44754:44813 
Background:  43225 , Loaded: 43225 
Cadmium: No Cadmium Subtraction 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 2e-006 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is Out.  NO ATTENUATION  
Attenuator: 0 is In. Up-scaling data by 1 
Beam Centre1 :  Cx = 13.9339  Cy = 63.8863       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.62251 +/- 0.00067316  Te = 0.9557 +/- 0.00090528 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
Data: Corrected for D22 Detector Paralax 
  
***** Calibrations: ***** 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.1 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 2 56 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0254181	1.85188	0.0347492	0.00398673
0.0296575	1.85473	0.0226701	0.0041083
0.0336229	1.82002	0.0149684	0.00436179
0.0377258	1.78331	0.0127046	0.0044452
0.0418017	1.70883	0.0113873	0.00450735
0.0457864	1.63598	0.0113089	0.00457914
0.0497752	1.56131	0.00996957	0.00465124
0.0537651	1.48841	0.00977275	0.00472843
0.0578495	1.4232	0.00948532	0.00485573
0.061859	1.38101	0.0094343	0.0049556
0.0658198	1.3188	0.00925129	0.00505977
0.0698321	1.26599	0.00854307	0.00515373
0.0738814	1.24499	0.0086536	0.00525709
0.0779364	1.20454	0.00809486	0.0053616
0.0819551	1.21573	0.00824651	0.00547224
0.085949	1.20494	0.00799913	0.00558092
0.0900103	1.21406	0.00774043	0.00569308
0.0939844	1.21971	0.00805298	0.00580945
0.097938	1.24245	0.00767443	0.0059237
0.101911	1.25489	0.00786075	0.00604186
0.106023	1.28203	0.00742753	0.00616704
0.110122	1.3148	0.00775563	0.00629881
0.114131	1.35271	0.00770657	0.00641911
0.118105	1.3979	0.00778078	0.00654841
0.122104	1.44685	0.00779441	0.006678
0.126146	1.46756	0.00767147	0.00681062
0.130241	1.50217	0.00764975	0.00695384
0.134357	1.51857	0.00759287	0.00709075
0.138358	1.53831	0.00776449	0.00722435
0.142372	1.53074	0.00749545	0.00736472
0.146387	1.50959	0.00743101	0.00749868
0.150454	1.49244	0.00722386	0.00765121
0.154509	1.43767	0.00706694	0.00779173
0.158496	1.38038	0.0069647	0.0079332
0.162497	1.31259	0.00652859	0.00807276
0.16652	1.25841	0.00647572	0.00822294
0.170554	1.19501	0.00609678	0.00837369
