GRASP V.6.28    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  N117 35C rh          
Start: 18-Oct-11   06:28:01     End: 18-Oct-11   06:29:24   
  
Foreground:  44753 , Loaded: 44753 
Background:  43225 , Loaded: 43225 
Cadmium: No Cadmium Subtraction 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 2e-006 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is Out.  NO ATTENUATION  
Attenuator: 0 is In. Up-scaling data by 1 
Beam Centre1 :  Cx = 13.9339  Cy = 63.8863       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.62251 +/- 0.00067316  Te = 0.9557 +/- 0.00090528 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
Data: Corrected for D22 Detector Paralax 
  
***** Calibrations: ***** 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.1 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 1 241 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0254411	1.98012	0.242319	0.00399033
0.0296843	1.61984	0.143337	0.00411202
0.0336533	1.71964	0.0984491	0.00436573
0.0377599	1.78193	0.085967	0.00444921
0.0418395	1.61534	0.0751182	0.00451142
0.0458278	1.58156	0.0756037	0.00458327
0.0498202	1.46702	0.0659054	0.00465544
0.0538137	1.45547	0.0659693	0.0047327
0.0579017	1.33042	0.0627364	0.00486012
0.0619148	1.33424	0.0634901	0.00496008
0.0658792	1.21312	0.0609538	0.00506434
0.0698952	1.21799	0.057627	0.00515838
0.0739481	1.24459	0.0594402	0.00526184
0.0780068	1.19742	0.0555439	0.00536645
0.0820291	1.09328	0.053892	0.00547719
0.0860266	1.17641	0.0544174	0.00558596
0.0900916	1.17406	0.0524024	0.00569822
0.0940693	1.1553	0.0539287	0.0058147
0.0980264	1.19102	0.0516728	0.00592905
0.102003	1.22188	0.0532923	0.00604732
0.106119	1.27994	0.0509354	0.00617261
0.110222	1.26937	0.0522569	0.0063045
0.114234	1.28045	0.0514312	0.00642491
0.118212	1.35742	0.0524012	0.00655432
0.122215	1.28037	0.0501168	0.00668403
0.12626	1.3885	0.0509797	0.00681677
0.130359	1.3704	0.0498657	0.00696012
0.134478	1.46897	0.0509756	0.00709716
0.138483	1.42027	0.050887	0.00723088
0.1425	1.49676	0.0505138	0.00737137
0.146519	1.46541	0.0499444	0.00750545
0.15059	1.3629	0.0471684	0.00765812
0.154649	1.45465	0.048611	0.00779877
0.158639	1.45517	0.0489349	0.00794036
0.162644	1.24343	0.0436116	0.00808005
0.166671	1.23862	0.0441621	0.00823037
0.170708	1.20143	0.042047	0.00838125
0.174744	1.16305	0.0417503	0.00852352
