GRASP V.6.28    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  N117 35C rh          
Start: 18-Oct-11   06:29:43     End: 18-Oct-11   06:29:53   
  
Foreground:  44755 , Loaded: 44754:44813 
Background:  43225 , Loaded: 43225 
Cadmium: No Cadmium Subtraction 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 2e-006 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is Out.  NO ATTENUATION  
Attenuator: 0 is In. Up-scaling data by 1 
Beam Centre1 :  Cx = 13.9339  Cy = 63.8863       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.62251 +/- 0.00067316  Te = 0.9557 +/- 0.00090528 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
Data: Corrected for D22 Detector Paralax 
  
***** Calibrations: ***** 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.1 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 2 3 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0254331	1.81024	0.0343833	0.00398908
0.029675	1.79811	0.0223393	0.00411072
0.0336427	1.7398	0.0146326	0.00436436
0.037748	1.67953	0.012322	0.00444781
0.0418263	1.63926	0.0111555	0.00451001
0.0458134	1.58969	0.0111563	0.00458183
0.0498045	1.5013	0.00978014	0.00465398
0.0537968	1.43945	0.00961623	0.00473122
0.0578836	1.36927	0.00930716	0.00485859
0.0618954	1.3474	0.0093286	0.00495852
0.0658586	1.26356	0.00906173	0.00506275
0.0698732	1.25539	0.00852097	0.00515676
0.0739249	1.20735	0.00853094	0.00526019
0.0779823	1.18063	0.00802569	0.00536476
0.0820033	1.16474	0.00807821	0.00547547
0.0859996	1.17057	0.00789461	0.00558421
0.0900633	1.17365	0.00761908	0.00569643
0.0940398	1.18028	0.00792883	0.00581288
0.0979956	1.18893	0.00751305	0.00592719
0.101971	1.2013	0.00769618	0.00604542
0.106085	1.21662	0.00723955	0.00617067
0.110187	1.26443	0.00761238	0.00630252
0.114198	1.28441	0.00751305	0.00642289
0.118175	1.3304	0.00759275	0.00655227
0.122176	1.36018	0.00755715	0.00668194
0.12622	1.40241	0.00750078	0.00681463
0.130318	1.4301	0.00746582	0.00695794
0.134436	1.46836	0.00747128	0.00709493
0.138439	1.48105	0.00762126	0.00722861
0.142455	1.48779	0.00739606	0.00736906
0.146473	1.46649	0.00733052	0.0075031
0.150543	1.45388	0.00713759	0.00765572
0.1546	1.42379	0.00704312	0.00779632
0.158589	1.38589	0.00699095	0.00793787
0.162592	1.32411	0.00656925	0.00807751
0.166618	1.27002	0.00651846	0.00822778
0.170654	1.20226	0.00612679	0.00837862
