GRASP V.6.28    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  N117 35C rh          
Start: 18-Oct-11   06:33:58     End: 18-Oct-11   06:34:08   
  
Foreground:  44780 , Loaded: 44754:44813 
Background:  43225 , Loaded: 43225 
Cadmium: No Cadmium Subtraction 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 2e-006 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is Out.  NO ATTENUATION  
Attenuator: 0 is In. Up-scaling data by 1 
Beam Centre1 :  Cx = 13.9339  Cy = 63.8863       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.62251 +/- 0.00067316  Te = 0.9557 +/- 0.00090528 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
Data: Corrected for D22 Detector Paralax 
  
***** Calibrations: ***** 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.1 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 2 28 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0254381	1.92877	0.0355302	0.00398986
0.0296808	1.8682	0.0227756	0.00411153
0.0336494	1.78756	0.0148228	0.00436521
0.0377554	1.77917	0.0126914	0.00444869
0.0418345	1.69372	0.0113362	0.00451089
0.0458224	1.62423	0.0112685	0.00458273
0.0498143	1.54427	0.00991309	0.00465489
0.0538074	1.46877	0.00970656	0.00473215
0.0578949	1.41438	0.00945409	0.00485955
0.0619075	1.35329	0.00933456	0.00495949
0.0658715	1.30326	0.00919389	0.00506375
0.069887	1.26947	0.00855687	0.00515777
0.0739394	1.23405	0.0086148	0.00526122
0.0779976	1.20602	0.00810361	0.00536581
0.0820194	1.19986	0.00819151	0.00547654
0.0860165	1.19253	0.00795864	0.0055853
0.090081	1.20422	0.00770998	0.00569755
0.0940582	1.20714	0.00801199	0.00581402
0.0980149	1.22092	0.00760571	0.00592835
0.101991	1.24675	0.00783481	0.0060466
0.106106	1.26494	0.00737615	0.00617188
0.110209	1.3003	0.00771425	0.00630376
0.114221	1.32344	0.00761925	0.00642415
0.118198	1.37497	0.0077154	0.00655355
0.1222	1.4218	0.00772428	0.00668325
0.126245	1.44572	0.00761257	0.00681597
0.130343	1.48233	0.00759666	0.0069593
0.134462	1.50581	0.00756175	0.00709632
0.138466	1.53447	0.00775575	0.00723003
0.142483	1.52514	0.0074835	0.0073705
0.146502	1.50193	0.00741284	0.00750457
0.150573	1.48844	0.00721545	0.00765722
0.154631	1.43901	0.00707173	0.00779785
0.158621	1.39215	0.00699809	0.00793943
0.162624	1.32461	0.00656094	0.0080791
0.166651	1.26967	0.00650839	0.0082294
0.170688	1.19685	0.00610309	0.00838026
