GRASP V.6.28    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  N117 35C rh          
Start: 18-Oct-11   06:28:01     End: 18-Oct-11   06:29:24   
  
Foreground:  44753 , Loaded: 44753 
Background:  43225 , Loaded: 43225 
Cadmium: No Cadmium Subtraction 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 2e-006 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is Out.  NO ATTENUATION  
Attenuator: 0 is In. Up-scaling data by 1 
Beam Centre1 :  Cx = 13.9339  Cy = 63.8863       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.62251 +/- 0.00067316  Te = 0.9557 +/- 0.00090528 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
Data: Corrected for D22 Detector Paralax 
  
***** Calibrations: ***** 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.1 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 1 81 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0254411	1.57135	0.216142	0.00399033
0.0296843	1.59216	0.141486	0.00411202
0.0336533	1.53662	0.0926396	0.00436573
0.0377599	1.56426	0.0801765	0.00444921
0.0418395	1.54751	0.0731711	0.00451142
0.0458278	1.3298	0.0690667	0.00458327
0.0498202	1.3072	0.0619415	0.00465544
0.0538137	1.39239	0.0641961	0.0047327
0.0579017	1.22056	0.059809	0.00486012
0.0619148	1.33597	0.0632318	0.00496008
0.0658792	1.19957	0.0602923	0.00506434
0.0698952	1.18755	0.0565929	0.00515838
0.0739481	1.21479	0.0585032	0.00526184
0.0780068	1.18338	0.0549095	0.00536645
0.0820291	1.12825	0.0544584	0.00547719
0.0860266	1.10344	0.0524774	0.00558596
0.0900916	1.15799	0.0517033	0.00569822
0.0940693	1.11305	0.0526628	0.0058147
0.0980264	0.998688	0.0472181	0.00592905
0.102003	1.19967	0.0525442	0.00604732
0.106119	1.17536	0.0486237	0.00617261
0.110222	1.16438	0.0498754	0.0063045
0.114234	1.21087	0.0497484	0.00642491
0.118212	1.2048	0.0492622	0.00655432
0.122215	1.21234	0.0485899	0.00668403
0.12626	1.22575	0.047719	0.00681677
0.130359	1.31918	0.0486957	0.00696012
0.134478	1.33312	0.0483483	0.00709716
0.138483	1.38402	0.0499573	0.00723088
0.1425	1.37647	0.0482474	0.00737137
0.146519	1.39214	0.0484764	0.00750545
0.15059	1.34882	0.0466634	0.00765812
0.154649	1.30822	0.0458721	0.00779877
0.158639	1.32963	0.0465709	0.00794036
0.162644	1.35782	0.0452873	0.00808005
0.166671	1.28181	0.0446583	0.00823037
0.170708	1.25457	0.0427585	0.00838125
0.174744	1.16	0.0415171	0.00852352
