GRASP V.6.28    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  N117 35C rh          
Start: 18-Oct-11   06:28:01     End: 18-Oct-11   06:29:24   
  
Foreground:  44753 , Loaded: 44753 
Background:  43225 , Loaded: 43225 
Cadmium: No Cadmium Subtraction 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 2e-006 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is Out.  NO ATTENUATION  
Attenuator: 0 is In. Up-scaling data by 1 
Beam Centre1 :  Cx = 13.9339  Cy = 63.8863       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.62251 +/- 0.00067316  Te = 0.9557 +/- 0.00090528 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
Data: Corrected for D22 Detector Paralax 
  
***** Calibrations: ***** 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.1 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 1 301 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0254411	2.11561	0.249804	0.00399033
0.0296843	1.94948	0.156356	0.00411202
0.0336533	1.49824	0.0919806	0.00436573
0.0377599	1.60291	0.0814007	0.00444921
0.0418395	1.59373	0.0745152	0.00451142
0.0458278	1.53569	0.0743561	0.00458327
0.0498202	1.41241	0.064503	0.00465544
0.0538137	1.39671	0.0645165	0.0047327
0.0579017	1.31957	0.0624425	0.00486012
0.0619148	1.34948	0.0637199	0.00496008
0.0658792	1.26387	0.0619782	0.00506434
0.0698952	1.2606	0.0584322	0.00515838
0.0739481	1.20879	0.0584759	0.00526184
0.0780068	1.03614	0.0516827	0.00536645
0.0820291	1.12897	0.0546081	0.00547719
0.0860266	1.17751	0.0543027	0.00558596
0.0900916	1.04593	0.0494633	0.00569822
0.0940693	1.18041	0.0544031	0.0058147
0.0980264	1.09588	0.0495393	0.00592905
0.102003	1.11205	0.0508257	0.00604732
0.106119	1.26563	0.0504988	0.00617261
0.110222	1.20972	0.0509332	0.0063045
0.114234	1.30816	0.0518129	0.00642491
0.118212	1.3632	0.0524712	0.00655432
0.122215	1.38408	0.0520064	0.00668403
0.12626	1.39841	0.051074	0.00681677
0.130359	1.40614	0.0503815	0.00696012
0.134478	1.48872	0.0511792	0.00709716
0.138483	1.4097	0.0505807	0.00723088
0.1425	1.43394	0.049386	0.00737137
0.146519	1.45669	0.0497088	0.00750545
0.15059	1.35631	0.0469699	0.00765812
0.154649	1.34382	0.0466302	0.00779877
0.158639	1.3962	0.0478262	0.00794036
0.162644	1.31519	0.0447335	0.00808005
0.166671	1.28661	0.0448952	0.00823037
0.170708	1.24922	0.0427932	0.00838125
0.174744	1.16934	0.0417692	0.00852352
