GRASP V.6.28    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  N117 35C rh          
Start: 18-Oct-11   06:28:01     End: 18-Oct-11   06:29:24   
  
Foreground:  44753 , Loaded: 44753 
Background:  43225 , Loaded: 43225 
Cadmium: No Cadmium Subtraction 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 2e-006 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is Out.  NO ATTENUATION  
Attenuator: 0 is In. Up-scaling data by 1 
Beam Centre1 :  Cx = 13.9339  Cy = 63.8863       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.62251 +/- 0.00067316  Te = 0.9557 +/- 0.00090528 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
Data: Corrected for D22 Detector Paralax 
  
***** Calibrations: ***** 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.1 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 1 181 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0254411	1.39981	0.204433	0.00399033
0.0296843	1.46446	0.136122	0.00411202
0.0336533	1.69755	0.0975171	0.00436573
0.0377599	1.67259	0.083146	0.00444921
0.0418395	1.55735	0.0736266	0.00451142
0.0458278	1.36992	0.0702961	0.00458327
0.0498202	1.43386	0.064953	0.00465544
0.0538137	1.26454	0.0614158	0.0047327
0.0579017	1.34859	0.0630485	0.00486012
0.0619148	1.27414	0.061976	0.00496008
0.0658792	1.26283	0.0619287	0.00506434
0.0698952	1.20945	0.0572364	0.00515838
0.0739481	1.20899	0.0584221	0.00526184
0.0780068	1.1556	0.0544935	0.00536645
0.0820291	1.01256	0.0517714	0.00547719
0.0860266	1.07123	0.0518771	0.00558596
0.0900916	1.1431	0.0515939	0.00569822
0.0940693	1.02949	0.0508991	0.0058147
0.0980264	1.13798	0.0504287	0.00592905
0.102003	1.14697	0.051571	0.00604732
0.106119	1.14539	0.0481221	0.00617261
0.110222	1.17913	0.0503178	0.0063045
0.114234	1.23485	0.0504254	0.00642491
0.118212	1.24911	0.0502774	0.00655432
0.122215	1.2869	0.050184	0.00668403
0.12626	1.38352	0.0507696	0.00681677
0.130359	1.3731	0.0498075	0.00696012
0.134478	1.40685	0.049759	0.00709716
0.138483	1.45958	0.0514552	0.00723088
0.1425	1.48758	0.0502942	0.00737137
0.146519	1.47688	0.0500486	0.00750545
0.15059	1.41535	0.047942	0.00765812
0.154649	1.46409	0.0486638	0.00779877
0.158639	1.41724	0.0482103	0.00794036
0.162644	1.24028	0.0434817	0.00808005
0.166671	1.23618	0.0440249	0.00823037
0.170708	1.19729	0.0419521	0.00838125
0.174744	1.19933	0.0423042	0.00852352
