GRASP V.6.28    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  N117 35C rh          
Start: 18-Oct-11   06:38:02     End: 18-Oct-11   06:38:13   
  
Foreground:  44804 , Loaded: 44754:44813 
Background:  43225 , Loaded: 43225 
Cadmium: No Cadmium Subtraction 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 2e-006 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is Out.  NO ATTENUATION  
Attenuator: 0 is In. Up-scaling data by 1 
Beam Centre1 :  Cx = 13.9339  Cy = 63.8863       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.62251 +/- 0.00067316  Te = 0.9557 +/- 0.00090528 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
Data: Corrected for D22 Detector Paralax 
  
***** Calibrations: ***** 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.1 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 2 52 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0254271	1.86186	0.0348272	0.00398814
0.029668	1.83592	0.0225405	0.00410976
0.0336348	1.82157	0.0149603	0.00436333
0.0377391	1.7837	0.0126948	0.00444677
0.0418165	1.69947	0.0113451	0.00450894
0.0458026	1.62696	0.0112666	0.00458076
0.0497928	1.55187	0.00993009	0.00465288
0.0537841	1.49765	0.0097979	0.0047301
0.0578699	1.42852	0.00949485	0.00485745
0.0618808	1.35333	0.00932672	0.00495735
0.0658431	1.30607	0.00919701	0.00506156
0.0698568	1.26736	0.00854269	0.00515555
0.0739075	1.24276	0.00863896	0.00525895
0.0779639	1.21686	0.00813234	0.0053635
0.081984	1.21421	0.00823413	0.00547418
0.0859793	1.22558	0.00806516	0.00558289
0.0900421	1.20031	0.00768991	0.00569509
0.0940176	1.22488	0.00806514	0.00581151
0.0979726	1.23136	0.00763187	0.00592579
0.101947	1.25466	0.00785304	0.00604399
0.10606	1.28604	0.00743282	0.00616922
0.110161	1.31982	0.00776667	0.00630104
0.114171	1.35115	0.00769631	0.00642138
0.118147	1.38407	0.00773443	0.00655072
0.122148	1.43799	0.00776299	0.00668036
0.12619	1.46401	0.00765505	0.00681303
0.130287	1.50261	0.00764533	0.0069563
0.134404	1.51114	0.00756765	0.00709326
0.138407	1.54472	0.00777528	0.00722691
0.142422	1.52432	0.00747347	0.00736732
0.146439	1.49923	0.00739995	0.00750133
0.150508	1.47622	0.00717712	0.00765391
0.154564	1.43533	0.00705579	0.00779448
0.158552	1.3835	0.00696873	0.007936
0.162554	1.32756	0.0065622	0.00807561
0.166579	1.25329	0.00645735	0.00822584
0.170614	1.19438	0.00609015	0.00837665
