GRASP V.6.28    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  N117 35C rh          
Start: 18-Oct-11   06:28:01     End: 18-Oct-11   06:29:24   
  
Foreground:  44753 , Loaded: 44753 
Background:  43225 , Loaded: 43225 
Cadmium: No Cadmium Subtraction 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 2e-006 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is Out.  NO ATTENUATION  
Attenuator: 0 is In. Up-scaling data by 1 
Beam Centre1 :  Cx = 13.9339  Cy = 63.8863       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.62251 +/- 0.00067316  Te = 0.9557 +/- 0.00090528 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
Data: Corrected for D22 Detector Paralax 
  
***** Calibrations: ***** 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.1 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 1 16 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0254411	1.00394	0.174821	0.00399033
0.0296843	0.974735	0.112552	0.00411202
0.0336533	1.1097	0.0797164	0.00436573
0.0377599	1.07013	0.067198	0.00444921
0.0418395	1.1281	0.063232	0.00451142
0.0458278	1.1478	0.0647475	0.00458327
0.0498202	1.0878	0.0570785	0.00465544
0.0538137	1.04385	0.0562369	0.0047327
0.0579017	0.989361	0.0545122	0.00486012
0.0619148	1.05007	0.0566754	0.00496008
0.0658792	0.962101	0.05459	0.00506434
0.0698952	0.94317	0.050985	0.00515838
0.0739481	0.968375	0.0527522	0.00526184
0.0780068	0.914334	0.0488456	0.00536645
0.0820291	0.991629	0.0515561	0.00547719
0.0860266	0.983853	0.0500185	0.00558596
0.0900916	0.917997	0.0466214	0.00569822
0.0940693	0.886115	0.0475265	0.0058147
0.0980264	0.982432	0.0471658	0.00592905
0.102003	0.857178	0.0450189	0.00604732
0.106119	0.879321	0.0425719	0.00617261
0.110222	0.864838	0.0435063	0.0063045
0.114234	0.928566	0.0441278	0.00642491
0.118212	1.0195	0.0457256	0.00655432
0.122215	0.963392	0.0438022	0.00668403
0.12626	0.96934	0.0429176	0.00681677
0.130359	1.02108	0.0433278	0.00696012
0.134478	1.01941	0.0427431	0.00709716
0.138483	0.996091	0.0429321	0.00723088
0.1425	1.15012	0.0445264	0.00737137
0.146519	1.05657	0.0426952	0.00750545
0.15059	1.03948	0.0414403	0.00765812
0.154649	1.1373	0.0431877	0.00779877
0.158639	1.089	0.0425963	0.00794036
0.162644	1.13509	0.0418276	0.00808005
0.166671	1.0544	0.0409082	0.00823037
0.170708	1.08617	0.0401665	0.00838125
0.174744	1.12754	0.0412423	0.00852352
