GRASP V.6.28    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  N117 35C rh          
Start: 18-Oct-11   06:28:01     End: 18-Oct-11   06:29:24   
  
Foreground:  44753 , Loaded: 44753 
Background:  43225 , Loaded: 43225 
Cadmium: No Cadmium Subtraction 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 2e-006 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is Out.  NO ATTENUATION  
Attenuator: 0 is In. Up-scaling data by 1 
Beam Centre1 :  Cx = 13.9339  Cy = 63.8863       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.62251 +/- 0.00067316  Te = 0.9557 +/- 0.00090528 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
Data: Corrected for D22 Detector Paralax 
  
***** Calibrations: ***** 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.1 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 1 141 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0254411	1.94758	0.241906	0.00399033
0.0296843	1.72963	0.148483	0.00411202
0.0336533	1.58109	0.094601	0.00436573
0.0377599	1.63362	0.0826246	0.00444921
0.0418395	1.62468	0.0756186	0.00451142
0.0458278	1.53521	0.0746644	0.00458327
0.0498202	1.51173	0.067037	0.00465544
0.0538137	1.40346	0.0650138	0.0047327
0.0579017	1.37932	0.0640483	0.00486012
0.0619148	1.4066	0.0653919	0.00496008
0.0658792	1.28137	0.0627389	0.00506434
0.0698952	1.21296	0.0576419	0.00515838
0.0739481	1.22616	0.0592281	0.00526184
0.0780068	1.19298	0.0556214	0.00536645
0.0820291	1.15787	0.0555413	0.00547719
0.0860266	1.15555	0.0540799	0.00558596
0.0900916	1.26828	0.0545282	0.00569822
0.0940693	1.10817	0.0529935	0.0058147
0.0980264	1.27722	0.0536217	0.00592905
0.102003	1.25996	0.0542358	0.00604732
0.106119	1.13811	0.0482664	0.00617261
0.110222	1.18795	0.0507667	0.0063045
0.114234	1.26582	0.0512523	0.00642491
0.118212	1.32859	0.0520936	0.00655432
0.122215	1.29515	0.0506065	0.00668403
0.12626	1.3543	0.0505005	0.00681677
0.130359	1.30721	0.0488945	0.00696012
0.134478	1.37444	0.0495	0.00709716
0.138483	1.42806	0.0511616	0.00723088
0.1425	1.40349	0.0491149	0.00737137
0.146519	1.39725	0.0489334	0.00750545
0.15059	1.44664	0.0486826	0.00765812
0.154649	1.38555	0.0475581	0.00779877
0.158639	1.35294	0.0473377	0.00794036
0.162644	1.26451	0.0441042	0.00808005
0.166671	1.34168	0.0460292	0.00823037
0.170708	1.27098	0.0433495	0.00838125
0.174744	1.18889	0.0423465	0.00852352
