GRASP V.6.28    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  N117 35C rh          
Start: 18-Oct-11   06:39:44     End: 18-Oct-11   06:40:45   
  
Foreground:  44814 , Loaded: 44814:44822 
Background:  43225 , Loaded: 43225 
Cadmium: No Cadmium Subtraction 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 2e-006 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is Out.  NO ATTENUATION  
Attenuator: 0 is In. Up-scaling data by 1 
Beam Centre1 :  Cx = 13.9339  Cy = 63.8863       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.62251 +/- 0.00067316  Te = 0.9557 +/- 0.00090528 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
Data: Corrected for D22 Detector Paralax 
  
***** Calibrations: ***** 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.1 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 3 2 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0254271	1.90888	0.0179251	0.00398814
0.029668	1.86616	0.0115019	0.00410976
0.0336348	1.82486	0.00755333	0.00436333
0.0377391	1.77159	0.0063536	0.00444677
0.0418165	1.71666	0.00569807	0.00450894
0.0458026	1.637	0.00560841	0.00458076
0.0497928	1.57581	0.00494104	0.00465288
0.0537841	1.48646	0.00477731	0.0047301
0.0578699	1.42097	0.00460633	0.00485745
0.0618808	1.36747	0.00453902	0.00495735
0.0658431	1.31574	0.004446	0.00506156
0.0698568	1.27665	0.00411335	0.00515555
0.0739075	1.24247	0.00412915	0.00525895
0.0779639	1.2237	0.00389164	0.0053635
0.081984	1.21165	0.00392164	0.00547418
0.0859793	1.2095	0.0038177	0.00558289
0.0900421	1.20925	0.00368018	0.00569509
0.0940176	1.22666	0.00385396	0.00581151
0.0979726	1.23638	0.00365404	0.00592579
0.101947	1.26148	0.00377367	0.00604399
0.10606	1.29029	0.003579	0.00616922
0.110161	1.32387	0.00375046	0.00630104
0.114171	1.35988	0.00373369	0.00642138
0.118147	1.39687	0.00377421	0.00655072
0.122148	1.44367	0.00379393	0.00668036
0.12619	1.46982	0.00374937	0.00681303
0.130287	1.50838	0.00375959	0.0069563
0.134404	1.53007	0.00374446	0.00709326
0.138407	1.53518	0.00381085	0.00722691
0.142422	1.53522	0.00368935	0.00736732
0.146439	1.51202	0.00364678	0.00750133
0.150508	1.48103	0.00351693	0.00765391
0.154564	1.44453	0.00345125	0.00779448
0.158552	1.38369	0.00337588	0.007936
0.162554	1.31425	0.0031413	0.00807561
0.166579	1.25914	0.00309703	0.00822584
0.170614	1.19378	0.00289418	0.00837665
