GRASP V.6.28    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  N117 35C rh          
Start: 18-Oct-11   06:28:01     End: 18-Oct-11   06:29:24   
  
Foreground:  44753 , Loaded: 44753 
Background:  43225 , Loaded: 43225 
Cadmium: No Cadmium Subtraction 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 2e-006 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is Out.  NO ATTENUATION  
Attenuator: 0 is In. Up-scaling data by 1 
Beam Centre1 :  Cx = 13.9339  Cy = 63.8863       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.62251 +/- 0.00067316  Te = 0.9557 +/- 0.00090528 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
Data: Corrected for D22 Detector Paralax 
  
***** Calibrations: ***** 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.1 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 1 46 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0254411	1.17215	0.187872	0.00399033
0.0296843	1.2407	0.126056	0.00411202
0.0336533	1.35148	0.0873422	0.00436573
0.0377599	1.44142	0.0773788	0.00444921
0.0418395	1.43568	0.070924	0.00451142
0.0458278	1.391	0.0709127	0.00458327
0.0498202	1.3142	0.0624568	0.00465544
0.0538137	1.2444	0.0611493	0.0047327
0.0579017	1.17194	0.0589718	0.00486012
0.0619148	1.19081	0.0600771	0.00496008
0.0658792	1.17641	0.0600218	0.00506434
0.0698952	1.13908	0.0557279	0.00515838
0.0739481	1.12776	0.0567004	0.00526184
0.0780068	1.09313	0.0530922	0.00536645
0.0820291	1.17199	0.0556576	0.00547719
0.0860266	1.04499	0.0513806	0.00558596
0.0900916	1.09801	0.0507465	0.00569822
0.0940693	1.12878	0.0533267	0.0058147
0.0980264	1.06361	0.0488807	0.00592905
0.102003	1.13908	0.05152	0.00604732
0.106119	1.09705	0.0472182	0.00617261
0.110222	1.09598	0.0486953	0.0063045
0.114234	1.08598	0.0474336	0.00642491
0.118212	1.13622	0.0481139	0.00655432
0.122215	1.20712	0.0487551	0.00668403
0.12626	1.17454	0.0470032	0.00681677
0.130359	1.21921	0.0471113	0.00696012
0.134478	1.32606	0.0484596	0.00709716
0.138483	1.27293	0.0482039	0.00723088
0.1425	1.22814	0.0458705	0.00737137
0.146519	1.37973	0.0485032	0.00750545
0.15059	1.32399	0.046489	0.00765812
0.154649	1.30793	0.0461318	0.00779877
0.158639	1.30529	0.0464178	0.00794036
0.162644	1.38224	0.0459116	0.00808005
0.166671	1.2997	0.0452103	0.00823037
0.170708	1.15694	0.0412995	0.00838125
0.174744	1.21276	0.0426414	0.00852352
