GRASP V.6.28    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  N117 35C rh          
Start: 18-Oct-11   06:28:01     End: 18-Oct-11   06:29:24   
  
Foreground:  44753 , Loaded: 44753 
Background:  43225 , Loaded: 43225 
Cadmium: No Cadmium Subtraction 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 2e-006 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is Out.  NO ATTENUATION  
Attenuator: 0 is In. Up-scaling data by 1 
Beam Centre1 :  Cx = 13.9339  Cy = 63.8863       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.62251 +/- 0.00067316  Te = 0.9557 +/- 0.00090528 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
Data: Corrected for D22 Detector Paralax 
  
***** Calibrations: ***** 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.1 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 1 6 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0254411	0.912126	0.166591	0.00399033
0.0296843	0.938514	0.10989	0.00411202
0.0336533	1.0259	0.0765211	0.00436573
0.0377599	0.951902	0.0633707	0.00444921
0.0418395	0.942548	0.057851	0.00451142
0.0458278	1.07829	0.0627474	0.00458327
0.0498202	0.951518	0.0534178	0.00465544
0.0538137	0.930274	0.05313	0.0047327
0.0579017	0.909033	0.0521097	0.00486012
0.0619148	0.912444	0.0528246	0.00496008
0.0658792	1.02114	0.0560139	0.00506434
0.0698952	0.870085	0.0490016	0.00515838
0.0739481	0.907573	0.0510586	0.00526184
0.0780068	0.963181	0.0499888	0.00536645
0.0820291	0.917691	0.0494924	0.00547719
0.0860266	0.903853	0.0478502	0.00558596
0.0900916	0.897495	0.0460111	0.00569822
0.0940693	0.807239	0.0453653	0.0058147
0.0980264	0.865385	0.0443323	0.00592905
0.102003	0.815309	0.0438632	0.00604732
0.106119	0.832051	0.0413218	0.00617261
0.110222	0.861142	0.0433779	0.0063045
0.114234	0.84589	0.0420944	0.00642491
0.118212	0.859805	0.0420847	0.00655432
0.122215	0.870759	0.0416159	0.00668403
0.12626	0.877578	0.0408205	0.00681677
0.130359	0.902426	0.040743	0.00696012
0.134478	0.912249	0.0404378	0.00709716
0.138483	0.867763	0.0400508	0.00723088
0.1425	0.92386	0.0399889	0.00737137
0.146519	0.854165	0.0384073	0.00750545
0.15059	0.965872	0.0398948	0.00765812
0.154649	0.864067	0.0377761	0.00779877
0.158639	0.966676	0.0401142	0.00794036
0.162644	0.978984	0.0388604	0.00808005
0.166671	1.03545	0.0405116	0.00823037
0.170708	0.929612	0.0371424	0.00838125
0.174744	0.998266	0.0387817	0.00852352
